FF 999; FL 130; FR 408; LL 154; RR 999; ER       3234; EL      3873
FF 999; FL 122; FR 373; LL 137; RR 999; ER       3301; EL      3931
FF 999; FL 153; FR 371; LL 122; RR 999; ER       3369; EL      3927
FF 999; FL 999; FR 332; LL  96; RR 999; ER       3426; EL      3906
FF 403; FL 999; FR 999; LL  84; RR 153; ER       3480; EL      3947
FF 366; FL 999; FR 999; LL 106; RR 164; ER       3544; EL      4003
FF 376; FL 999; FR 999; LL 999; RR 999; ER       3620; EL      4072
FF 376; FL 999; FR 253; LL 999; RR 999; ER       3689; EL      4138
FF 383; FL 999; FR 257; LL 999; RR 999; ER       3700; EL      4150
FF 372; FL 999; FR 271; LL 999; RR 999; ER       3700; EL      4150
FF 369; FL 999; FR 266; LL 999; RR 999; ER       3700; EL      4150
FF 368; FL 999; FR 273; LL 999; RR 999; ER       3700; EL      4150
FF 367; FL 999; FR 272; LL 999; RR 999; ER       3700; EL      4150
FF 369; FL 999; FR 267; LL 999; RR 999; ER       3732; EL      4136
FF 356; FL 999; FR 999; LL 999; RR 201; ER       3775; EL      4121
FF 315; FL 999; FR 999; LL 999; RR 174; ER       3777; EL      4121
FF 319; FL 999; FR 999; LL 999; RR 177; ER       3777; EL      4121
FF 315; FL 999; FR 999; LL 999; RR 176; ER       3813; EL      4109
FF 295; FL 385; FR 999; LL 999; RR 171; ER       3865; EL      4096
FF 228; FL 378; FR 999; LL 999; RR 999; ER       3866; EL      4096
FF 999; FL 390; FR 999; LL 999; RR 999; ER       3866; EL      4096
FF 999; FL 392; FR 999; LL 999; RR 999; ER       3906; EL      4082
FF 999; FL 371; FR 190; LL 999; RR 999; ER       3955; EL      4069
FF 999; FL 322; FR 180; LL 307; RR 999; ER       3956; EL      4069
FF 999; FL 331; FR 174; LL 317; RR 999; ER       3988; EL      4055
FF 999; FL 307; FR 144; LL 349; RR 356; ER       4029; EL      4042
FF 999; FL 999; FR 138; LL 349; RR 354; ER       4030; EL      4042
FF 999; FL 999; FR 139; LL 362; RR 352; ER       4030; EL      4042
FF 999; FL 999; FR 142; LL 361; RR 351; ER       4063; EL      4028
FF 181; FL 999; FR 999; LL 347; RR 359; ER       4110; EL      4014
FF 155; FL 999; FR 999; LL 307; RR 336; ER       4111; EL      4014
FF 152; FL 999; FR 999; LL 312; RR 337; ER       4111; EL      4014
FF 147; FL 999; FR 999; LL 313; RR 345; ER       4148; EL      3998
FF 116; FL 999; FR 316; LL 284; RR 255; ER       4197; EL      3981
FF 161; FL 999; FR 310; LL 999; RR 203; ER       4198; EL      3981
FF 162; FL 999; FR 312; LL 999; RR 208; ER       4231; EL      3963
FF 999; FL 164; FR 312; LL 999; RR 170; ER       4278; EL      3937
FF 325; FL 120; FR 289; LL 999; RR 191; ER       4278; EL      3937
FF 331; FL 125; FR 290; LL 999; RR 191; ER       4278; EL      3937
